"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","08-Sep-2015","       2539.75","       2545.00","       2564.10","       2523.50","       2540.30","       2540.30","       2540.52","     893873","          2270899930.95","      64944","     616912","         69.02"
"TCS","EQ","09-Sep-2015","       2540.30","       2562.95","       2574.00","       2544.00","       2551.00","       2549.75","       2558.04","    1022538","          2615692014.25","      62654","     625155","         61.14"
"TCS","EQ","10-Sep-2015","       2549.75","       2542.00","       2578.50","       2527.00","       2550.00","       2545.40","       2553.83","    1332909","          3404019638.10","      96715","     916263","         68.74"
"TCS","EQ","11-Sep-2015","       2545.40","       2546.50","       2568.40","       2540.60","       2549.80","       2552.00","       2553.59","     796336","          2033516637.85","      60997","     560414","         70.37"
"TCS","EQ","14-Sep-2015","       2552.00","       2565.00","       2565.00","       2543.00","       2548.00","       2551.65","       2552.98","     794659","          2028750151.55","      57713","     577291","         72.65"
"TCS","EQ","15-Sep-2015","       2551.65","       2551.65","       2558.90","       2536.00","       2537.25","       2547.60","       2548.86","     689950","          1758583961.95","      64604","     485074","         70.31"
"TCS","EQ","16-Sep-2015","       2547.60","       2555.00","       2565.00","       2541.05","       2548.00","       2550.35","       2553.80","     878408","          2243276051.65","      69451","     634884","         72.28"
"TCS","EQ","18-Sep-2015","       2550.35","       2565.00","       2586.00","       2539.00","       2545.00","       2551.25","       2565.18","    1227647","          3149141305.85","      70579","     870927","         70.94"
"TCS","EQ","21-Sep-2015","       2551.25","       2550.00","       2557.10","       2533.20","       2555.65","       2551.05","       2545.78","     554420","          1411429757.40","      59635","     370607","         66.85"
"TCS","EQ","22-Sep-2015","       2551.05","       2557.50","       2572.40","       2490.00","       2522.55","       2526.80","       2545.14","    1040623","          2648536284.15","      72612","     671655","         64.54"
"TCS","EQ","23-Sep-2015","       2526.80","       2534.30","       2557.75","       2512.60","       2534.60","       2532.65","       2533.36","     614176","          1555931596.75","      37626","     345011","         56.17"
"TCS","EQ","24-Sep-2015","       2532.65","       2535.50","       2590.00","       2529.90","       2579.00","       2580.40","       2561.80","    1177127","          3015562644.85","      71506","     824902","         70.08"
"TCS","EQ","28-Sep-2015","       2580.40","       2594.00","       2619.00","       2579.50","       2600.00","       2593.70","       2603.35","    1183406","          3080820833.95","      77392","     894029","         75.55"
"TCS","EQ","29-Sep-2015","       2593.70","       2583.35","       2634.00","       2569.85","       2592.00","       2588.25","       2603.73","    1662976","          4329946170.65","     103754","    1244496","         74.84"
"TCS","EQ","30-Sep-2015","       2588.25","       2643.70","       2643.70","       2570.95","       2585.00","       2588.05","       2585.98","    1684168","          4355227068.05","      81073","    1273762","         75.63"
"TCS","EQ","01-Oct-2015","       2588.05","       2599.00","       2649.95","       2592.20","       2641.10","       2644.60","       2630.47","    1417204","          3727914114.80","      94874","    1002629","         70.75"
"TCS","EQ","05-Oct-2015","       2644.60","       2652.70","       2770.00","       2652.70","       2719.90","       2711.65","       2711.39","    2403653","          6517248343.20","     146358","    1616394","         67.25"
"TCS","EQ","06-Oct-2015","       2711.65","       2725.00","       2726.00","       2684.00","       2686.20","       2700.00","       2704.90","    1989795","          5382189365.20","      96553","    1635016","         82.17"
"TCS","EQ","07-Oct-2015","       2700.00","       2693.95","       2717.00","       2646.95","       2655.00","       2653.95","       2677.99","    1032765","          2765730773.40","     102318","     683381","         66.17"
"TCS","EQ","08-Oct-2015","       2653.95","       2670.00","       2678.35","       2620.00","       2631.90","       2633.80","       2642.62","    1178775","          3115049441.30","     102041","     865714","         73.44"
"TCS","EQ","09-Oct-2015","       2633.80","       2650.50","       2650.60","       2608.00","       2630.00","       2629.65","       2628.83","    1124862","          2957073345.25","      68120","     837088","         74.42"
